time_s,lat,lon,alt_m
1771501482.3825953,54.7672034,-1.5679975,-0.46
1771501482.482886,54.7672034,-1.5679975,-0.46
1771501482.5831866,54.7672034,-1.5679975,-0.46
1771501482.6835234,54.7672034,-1.5679975,-0.46
1771501482.7837663,54.7672034,-1.5679975,-0.46
1771501482.8840077,54.7672034,-1.5679975,-0.46
1771501482.9842176,54.7672034,-1.5679975,-0.46
1771501483.0844588,54.7672034,-1.5679975,-0.46
1771501483.1847126,54.7672034,-1.5679975,-0.46
1771501483.2849839,54.7672034,-1.5679975,-0.46
1771501483.3852427,54.7672034,-1.5679975,-0.46
1771501483.4854877,54.7672034,-1.5679975,-0.46
1771501483.5857038,54.7672034,-1.5679975,-0.46
1771501483.6860592,54.7672034,-1.5679975,-0.46
1771501483.7862835,54.7672034,-1.5679975,-0.46
1771501483.8865223,54.7672034,-1.5679975,-0.46
1771501483.986751,54.7672034,-1.5679975,-0.46
1771501484.086995,54.7672034,-1.5679975,-0.46
1771501484.1872034,54.7672034,-1.5679975,-0.46
1771501484.2874255,54.7672034,-1.5679975,-0.46
1771501484.3876271,54.7672034,-1.5679975,-0.46
1771501484.4877942,54.7672034,-1.5679975,-0.46
1771501484.587936,54.7672034,-1.5679975,-0.46
1771501484.6880853,54.7672034,-1.5679975,-0.46
1771501484.788258,54.7672034,-1.5679975,-0.46
1771501484.8884065,54.7672034,-1.5679975,-0.46
1771501484.988584,54.7672034,-1.5679975,-0.46
1771501485.088748,54.7672034,-1.5679975,-0.46
1771501485.1889153,54.7672034,-1.5679975,-0.46
1771501485.2890835,54.7672034,-1.5679975,-0.46
1771501485.3892634,54.7672034,-1.5679975,-0.46
1771501485.4894452,54.7672034,-1.5679975,-0.46
1771501485.5895867,54.7672034,-1.5679975,-0.46
