time_s,lat,lon,alt_m
1771501094.9745505,54.7670492,-1.5680053,1.925
1771501095.074725,54.7670536,-1.5680053,1.918
1771501095.174912,54.7670536,-1.5680053,1.918
1771501095.2750645,54.7670581,-1.5680054,1.912
1771501095.375254,54.7670581,-1.5680054,1.912
1771501095.4754415,54.7670581,-1.5680054,1.912
1771501095.575622,54.7670626,-1.5680054,1.906
1771501095.675799,54.7670626,-1.5680054,1.906
1771501095.7759697,54.7670671,-1.5680054,1.899
1771501095.8761492,54.7670671,-1.5680054,1.899
1771501095.9764245,54.7670671,-1.5680054,1.899
1771501096.0766895,54.7670717,-1.5680054,1.892
1771501096.1768684,54.7670717,-1.5680054,1.892
1771501096.2770236,54.7670763,-1.5680054,1.885
1771501096.3772697,54.7670763,-1.5680054,1.885
1771501096.4774332,54.7670763,-1.5680054,1.885
1771501096.577597,54.7670808,-1.5680054,1.878
1771501096.6777706,54.7670808,-1.5680054,1.878
1771501096.7779548,54.7670854,-1.5680054,1.87
1771501096.8781915,54.7670854,-1.5680054,1.87
1771501096.9784453,54.7670854,-1.5680054,1.87
1771501097.0786064,54.7670899,-1.5680054,1.863
1771501097.1787784,54.7670899,-1.5680054,1.863
1771501097.278994,54.7670945,-1.5680054,1.855
1771501097.3792102,54.7670945,-1.5680054,1.855
1771501097.4794333,54.7670945,-1.5680054,1.855
1771501097.5796475,54.7670989,-1.5680053,1.847
1771501097.679884,54.7670989,-1.5680053,1.847
1771501097.7800944,54.7671027,-1.5680053,1.839
1771501097.8802955,54.7671027,-1.5680053,1.839
1771501097.9805408,54.7671027,-1.5680053,1.839
1771501098.0807717,54.7671059,-1.5680053,1.832
1771501098.1810148,54.7671059,-1.5680053,1.832
1771501098.2812605,54.7671084,-1.5680053,1.828
1771501098.3815396,54.7671084,-1.5680053,1.828
1771501098.4817736,54.7671084,-1.5680053,1.828
1771501098.582024,54.7671102,-1.5680053,1.827
1771501098.6822705,54.7671102,-1.5680053,1.827
1771501098.7825098,54.7671114,-1.5680053,1.824
1771501098.8827116,54.7671114,-1.5680053,1.824
1771501098.9829247,54.7671117,-1.5680052,1.823
1771501099.0831413,54.7671117,-1.5680052,1.823
1771501099.1833975,54.7671117,-1.5680052,1.823
1771501099.2836227,54.7671115,-1.5680052,1.822
1771501099.3838334,54.7671115,-1.5680052,1.822
1771501099.4840276,54.7671115,-1.5680052,1.822
1771501099.5842767,54.7671109,-1.5680052,1.822
1771501099.6845179,54.7671109,-1.5680052,1.822
1771501099.7847204,54.7671103,-1.5680052,1.822
1771501099.8849292,54.7671103,-1.5680052,1.822
1771501099.9852815,54.7671097,-1.5680052,1.822
1771501100.0855017,54.7671097,-1.5680052,1.822
1771501100.185756,54.7671097,-1.5680052,1.822
1771501100.2860272,54.7671092,-1.5680052,1.821
1771501100.386254,54.7671092,-1.5680052,1.821
1771501100.4866922,54.7671088,-1.5680052,1.819
1771501100.5869894,54.7671088,-1.5680052,1.819
1771501100.6872666,54.7671088,-1.5680052,1.819
1771501100.787612,54.7671087,-1.5680053,1.783
1771501100.8878627,54.7671087,-1.5680053,1.783
1771501100.9880695,54.7671088,-1.5680053,1.692
1771501101.0882924,54.7671088,-1.5680053,1.692
1771501101.1885152,54.7671088,-1.5680053,1.692
1771501101.2887275,54.7671089,-1.5680054,1.573
1771501101.3890789,54.7671089,-1.5680054,1.573
1771501101.4893212,54.7671091,-1.5680054,1.444
1771501101.589553,54.7671091,-1.5680054,1.444
1771501101.6897728,54.7671091,-1.5680054,1.444
1771501101.790013,54.7671093,-1.5680054,1.313
1771501101.890241,54.7671093,-1.5680054,1.313
1771501101.9906676,54.7671096,-1.5680055,1.184
1771501102.0910883,54.7671096,-1.5680055,1.184
1771501102.1912982,54.7671096,-1.5680055,1.184
1771501102.2915404,54.7671098,-1.5680056,1.057
1771501102.3917603,54.7671098,-1.5680056,1.057
1771501102.4919837,54.76711,-1.5680056,0.931
1771501102.592204,54.76711,-1.5680056,0.931
1771501102.6924431,54.76711,-1.5680056,0.931
1771501102.7926757,54.7671102,-1.5680056,0.806
1771501102.8929102,54.7671102,-1.5680056,0.806
1771501102.9932952,54.7671103,-1.5680056,0.681
1771501103.0935268,54.7671103,-1.5680056,0.681
1771501103.1937687,54.7671103,-1.5680056,0.681
1771501103.2939975,54.7671105,-1.5680057,0.557
1771501103.3942332,54.7671105,-1.5680057,0.557
1771501103.4944258,54.7671105,-1.5680057,0.433
1771501103.5946517,54.7671105,-1.5680057,0.433
1771501103.6948795,54.7671105,-1.5680057,0.433
1771501103.79513,54.7671106,-1.5680057,0.308
1771501103.8954046,54.7671106,-1.5680057,0.308
1771501103.995633,54.7671106,-1.5680057,0.183
1771501104.0958881,54.7671106,-1.5680057,0.183
1771501104.196125,54.7671106,-1.5680057,0.183
1771501104.2963605,54.7671107,-1.5680057,0.059
1771501104.396577,54.7671107,-1.5680057,0.059
1771501104.4968038,54.7671107,-1.5680057,-0.065
1771501104.597236,54.7671107,-1.5680057,-0.065
1771501104.697436,54.7671107,-1.5680057,-0.065
1771501104.7976782,54.7671107,-1.5680057,-0.19
1771501104.8979404,54.7671107,-1.5680057,-0.19
1771501104.9981709,54.7671107,-1.5680057,-0.315
1771501105.098488,54.7671107,-1.5680057,-0.315
1771501105.1987119,54.7671107,-1.5680057,-0.315
1771501105.2990375,54.7671108,-1.5680057,-0.411
1771501105.399286,54.7671108,-1.5680057,-0.411
1771501105.4995182,54.7671108,-1.5680057,-0.379
1771501105.5997438,54.7671108,-1.5680057,-0.379
1771501105.6999862,54.7671108,-1.5680057,-0.379
1771501105.8002367,54.7671108,-1.5680057,-0.38
1771501105.9004414,54.7671108,-1.5680057,-0.38
1771501106.0006247,54.7671108,-1.5680057,-0.383
1771501106.100894,54.7671108,-1.5680057,-0.383
1771501106.2011726,54.7671108,-1.5680057,-0.383
1771501106.3014376,54.7671108,-1.5680057,-0.382
1771501106.4016795,54.7671108,-1.5680057,-0.382
1771501106.5018585,54.7671108,-1.5680057,-0.382
1771501106.602085,54.7671108,-1.5680057,-0.382
1771501106.7023175,54.7671108,-1.5680057,-0.382
1771501106.8025312,54.7671108,-1.5680057,-0.381
1771501106.9027925,54.7671108,-1.5680057,-0.381
1771501107.0029657,54.7671108,-1.5680057,-0.381
1771501107.1032257,54.7671108,-1.5680057,-0.381
1771501107.2034347,54.7671108,-1.5680057,-0.381
1771501107.303697,54.7671108,-1.5680057,-0.381
1771501107.4038663,54.7671108,-1.5680057,-0.381
1771501107.5040736,54.7671108,-1.5680057,-0.38
1771501107.6042962,54.7671108,-1.5680057,-0.38
1771501107.7044687,54.7671108,-1.5680057,-0.38
1771501107.8046958,54.7671108,-1.5680057,-0.379
1771501107.9048975,54.7671108,-1.5680057,-0.379
1771501108.0051036,54.7671108,-1.5680057,-0.378
1771501108.1053019,54.7671108,-1.5680057,-0.378
1771501108.2056289,54.7671108,-1.5680057,-0.378
1771501108.3058445,54.7671108,-1.5680057,-0.377
1771501108.4060268,54.7671108,-1.5680057,-0.377
1771501108.5061736,54.7671108,-1.5680057,-0.377
1771501108.6064205,54.7671108,-1.5680057,-0.377
1771501108.7065957,54.7671108,-1.5680057,-0.377
1771501108.8067932,54.7671108,-1.5680058,-0.376
